onetsoc_code,cip_code,match_strength,qualifier,note
11-9199.08,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.08,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.08,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9199.09,52.0201,0.89,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.09,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.09,52.0299,0.84,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9199.10,03.0103,0.88,,"seeded from ""Environmental Sustainability"""
11-9199.10,03.0104,0.88,,"seeded from ""Environmental Science"""
11-9199.10,14.1401,0.88,,"seeded from ""Environmental Engineering"""
11-9199.10,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.10,52.0201,0.87,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.10,52.2001,0.84,,"seeded from ""Construction Project Management"""
11-9199.11,13.1001,0.80,,"seeded from ""Special Education"""
11-9199.11,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.11,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.11,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-1011.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1011.00,52.0201,0.87,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1011.00,52.0201,0.83,"Management Major, B.S.","seeded from ""Management""; CIP shared"
13-1011.00,52.1399,0.83,,"seeded from ""Business Intelligence"""
13-1021.00,52.1501,0.90,,"seeded from ""Real Estate"""
13-1021.00,52.2001,0.90,,"seeded from ""Construction Project Management"""
13-1022.00,52.0299,0.83,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-1022.00,52.0907,0.98,,"seeded from ""Event and Meeting Management"""
13-1022.00,52.1401,0.83,,"seeded from ""Marketing"""
13-1022.00,52.1804,0.98,,"seeded from ""Professional Selling"""
13-1023.00,15.0613,0.90,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
13-1023.00,15.0613,0.98,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
13-1023.00,15.0805,0.90,,"seeded from ""Mechanical Engineering Technology"""
13-1023.00,40.0801,0.78,,"seeded from ""Physics"""
13-1031.00,52.0301,0.72,,"seeded from ""Accounting"""
13-1031.00,52.0801,0.94,,"seeded from ""Finance"""
13-1032.00,52.0301,0.72,,"seeded from ""Accounting"""
13-1032.00,52.0801,0.94,,"seeded from ""Finance"""
13-1032.00,52.1501,0.94,,"seeded from ""Real Estate"""
13-1041.00,45.1001,0.90,,"seeded from ""Political Science"""
13-1041.01,03.0103,0.87,,"seeded from ""Environmental Sustainability"""
13-1041.01,03.0104,0.87,,"seeded from ""Environmental Science"""
13-1041.01,14.1401,0.98,,"seeded from ""Environmental Engineering"""
13-1041.03,13.1001,0.90,,"seeded from ""Special Education"""
13-1041.03,45.1001,0.90,,"seeded from ""Political Science"""
13-1041.04,43.0104,0.72,,"seeded from ""Criminal Justice and Criminology"""
13-1041.04,43.0202,0.72,,"seeded from ""Fire and Emergency Response Administration"""
13-1041.04,45.1001,0.94,,"seeded from ""Political Science"""
13-1041.06,38.0101,0.90,,"seeded from ""Philosophy"""
13-1041.07,13.1001,0.93,,"seeded from ""Special Education"""
13-1041.07,15.0613,0.80,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
13-1041.07,40.0801,0.80,,"seeded from ""Physics"""
13-1041.07,52.0301,0.80,,"seeded from ""Accounting"""
13-1041.08,14.1001,0.75,,"seeded from ""Electrical Engineering"""
13-1041.08,15.0613,0.75,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
13-1041.08,45.1001,0.75,,"seeded from ""Political Science"""
13-1041.08,52.0201,0.95,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1041.08,52.0907,0.95,,"seeded from ""Event and Meeting Management"""
13-1041.08,52.1501,0.75,,"seeded from ""Real Estate"""
13-1051.00,15.0613,0.83,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
13-1051.00,15.0613,0.83,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
13-1051.00,52.2001,0.98,,"seeded from ""Construction Project Management"""
13-1071.00,52.0301,0.62,,"seeded from ""Accounting"""
13-1071.00,52.1001,0.98,,"seeded from ""Human Resource Management"""
13-1074.00,52.2001,0.90,,"seeded from ""Construction Project Management"""
13-1075.00,09.0900,0.94,,"seeded from ""Public Relations"""
13-1075.00,13.1001,0.79,,"seeded from ""Special Education"""
13-1075.00,52.1001,0.98,,"seeded from ""Human Resource Management"""
13-1081.00,52.1001,0.90,,"seeded from ""Human Resource Management"""
13-1081.01,14.0901,0.83,,"seeded from ""Computer Engineering"""
13-1081.01,50.0404,0.83,,"seeded from ""Industrial Design"""
13-1081.01,51.2706,0.83,,"seeded from ""Health Care Information Systems Major"""
13-1081.01,52.0201,0.83,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1081.01,52.0201,0.83,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1081.01,52.1201,0.98,,"seeded from ""Computer Information Systems"""
13-1081.02,52.0201,0.76,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1081.02,52.0299,0.98,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-1081.02,52.0301,0.64,,"seeded from ""Accounting"""
